age,income,previous_purchases,customer_tenure_days,avg_basket_size,discount,campaign_response,channel,purchase
26,21800.0,1,1,33.44,0,0.037,in_store,0
64,72200.0,3,420,41.52,20,0.056,in_store,0
32,47800.0,5,501,36.75,20,0.118,online,1
37,47900.0,2,706,54.87,10,0.118,in_store,0
31,38100.0,0,368,49.79,30,0.088,in_store,0
52,52900.0,1,812,43.42,10,0.0,in_store,1
18,46500.0,4,1,38.38,10,0.193,online,0
40,39300.0,5,1107,31.36,0,0.044,online,0
44,33000.0,4,109,32.62,15,0.086,in_store,1
44,47500.0,2,59,42.78,0,0.124,in_store,0
32,31800.0,1,1,9.32,0,0.129,in_store,1
45,83200.0,4,191,54.96,0,0.11,in_store,0
31,50700.0,2,483,46.25,0,0.098,in_store,1
40,34000.0,4,336,15.55,0,0.136,in_store,0
39,56600.0,2,355,33.72,5,0.167,online,1
47,32400.0,0,401,18.24,20,0.0,online,0
18,21900.0,0,334,23.73,20,0.094,online,1
38,34800.0,4,109,32.85,25,0.096,online,0
47,21600.0,2,104,35.82,0,0.07,online,0
34,48500.0,1,1,39.55,0,0.195,in_store,0
56,53500.0,2,479,37.86,0,0.153,online,0
50,84200.0,2,475,57.06,10,0.027,online,1
68,66900.0,3,564,44.21,15,0.182,in_store,1
44,49200.0,2,171,48.07,0,0.0,online,1
47,33000.0,3,104,47.27,0,0.055,in_store,0
30,21400.0,0,58,38.42,30,0.0,in_store,1
45,54600.0,1,100,28.79,25,0.0,online,1
31,67700.0,3,209,51.16,5,0.234,in_store,1
27,52200.0,2,302,50.05,0,0.06,in_store,1
50,40300.0,3,248,35.67,10,0.181,online,0
48,79900.0,3,179,69.47,0,0.151,online,0
28,15000.0,0,187,43.38,0,0.0,online,1
44,50300.0,2,388,48.15,0,0.035,in_store,1
37,56300.0,1,673,37.59,0,0.056,in_store,0
43,69500.0,4,701,47.07,25,0.127,online,1
19,32700.0,1,154,26.43,0,0.0,in_store,0
25,33800.0,0,869,28.7,15,0.082,online,0
37,50500.0,2,41,44.79,0,0.0,online,0
49,30600.0,1,133,24.56,15,0.017,in_store,0
30,43000.0,0,134,35.34,0,0.132,in_store,0
61,85700.0,4,943,62.35,25,0.24,in_store,1
41,22800.0,1,1,27.67,20,0.215,in_store,1
44,39700.0,2,650,18.06,0,0.1,in_store,1
47,58900.0,2,209,36.4,0,0.147,online,0
53,42200.0,1,500,36.94,0,0.0,in_store,1
41,31000.0,1,278,17.95,20,0.075,in_store,0
69,41000.0,4,220,42.36,0,0.021,in_store,1
48,55600.0,2,39,55.25,0,0.138,in_store,1
50,55500.0,0,591,36.4,0,0.012,in_store,0
34,72100.0,0,105,47.49,0,0.0,in_store,0
32,38700.0,2,308,35.29,10,0.122,online,0
26,37300.0,0,1,31.37,0,0.045,in_store,1
46,47800.0,6,525,22.85,0,0.106,online,1
49,42900.0,2,206,24.44,0,0.207,in_store,0
55,55300.0,5,417,48.16,5,0.118,in_store,0
54,67200.0,4,59,39.31,10,0.18,in_store,0
45,45100.0,4,940,36.62,30,0.105,online,1
35,18600.0,3,332,35.27,0,0.111,in_store,1
34,44100.0,3,713,47.25,30,0.206,in_store,0
45,46400.0,3,422,39.86,0,0.203,in_store,1
36,39100.0,4,204,31.63,15,0.18,in_store,0
37,33600.0,3,96,34.21,5,0.157,in_store,0
38,51200.0,2,348,35.89,0,0.154,in_store,0
61,39700.0,2,208,38.78,0,0.223,in_store,0
37,55100.0,3,482,36.8,15,0.098,in_store,1
32,20000.0,1,1,29.38,20,0.024,online,0
29,34700.0,0,389,35.35,0,0.0,in_store,1
32,59300.0,1,341,52.07,0,0.051,online,0
31,51100.0,2,310,21.14,0,0.199,online,0
18,30600.0,0,31,34.02,0,0.0,in_store,1
59,64400.0,3,372,50.46,25,0.134,in_store,1
39,59200.0,1,491,56.48,15,0.0,online,1
44,55100.0,3,323,45.44,25,0.115,in_store,1
38,50300.0,4,475,35.56,20,0.044,in_store,0
41,58800.0,3,312,22.93,20,0.133,in_store,0
36,58700.0,2,265,38.36,0,0.031,in_store,0
41,53300.0,4,366,37.76,0,0.199,in_store,0
40,41200.0,3,850,25.42,15,0.192,online,1
19,37300.0,2,358,37.43,0,0.04,in_store,0
64,52700.0,2,628,42.64,0,0.114,in_store,0
42,37800.0,1,524,39.83,0,0.146,in_store,1
32,36600.0,2,427,39.01,0,0.179,in_store,1
38,62300.0,4,328,50.09,10,0.137,in_store,1
41,63500.0,3,7,44.36,15,0.0,in_store,0
62,33500.0,2,316,40.25,25,0.018,online,1
35,44900.0,4,483,45.8,25,0.145,in_store,1
33,45400.0,2,289,30.39,0,0.024,online,0
42,26900.0,3,409,27.25,0,0.011,in_store,0
42,60600.0,2,6,36.79,15,0.115,in_store,0
31,75300.0,2,1,58.82,25,0.181,in_store,0
30,19400.0,0,1,28.49,0,0.0,in_store,0
40,15000.0,1,524,18.05,30,0.086,in_store,1
56,49800.0,1,423,44.3,0,0.051,in_store,0
32,53200.0,7,581,46.05,20,0.219,online,1
27,38300.0,1,249,27.93,0,0.007,online,1
29,36100.0,0,98,34.61,25,0.093,online,1
46,45600.0,0,136,35.81,0,0.0,online,1
48,53200.0,6,688,34.77,0,0.076,online,0
31,39200.0,2,213,34.05,20,0.126,in_store,0
49,30400.0,3,406,20.9,25,0.0,in_store,0
45,70000.0,5,634,45.49,20,0.135,in_store,1
22,42200.0,1,1,31.13,0,0.047,online,0
22,44500.0,0,751,36.12,0,0.154,in_store,0
25,46700.0,2,632,35.76,0,0.272,in_store,1
19,39800.0,1,499,34.18,0,0.076,online,1
50,82200.0,5,380,71.49,15,0.158,in_store,1
55,55600.0,3,35,43.02,20,0.13,online,0
34,29200.0,0,422,20.98,15,0.0,in_store,1
24,33900.0,2,305,36.31,30,0.186,in_store,1
37,38000.0,0,236,36.58,0,0.0,online,0
18,15000.0,0,1,30.17,0,0.0,online,0
44,79000.0,0,655,55.74,20,0.0,online,1
80,87900.0,3,291,60.49,30,0.145,in_store,1
37,36100.0,1,492,42.87,0,0.0,in_store,1
36,39600.0,1,135,52.05,0,0.111,in_store,1
35,19400.0,1,646,31.16,0,0.0,in_store,0
38,55900.0,1,7,35.54,0,0.0,in_store,0
36,45100.0,0,314,41.61,0,0.111,online,0
21,57400.0,5,459,40.23,10,0.251,in_store,1
54,42800.0,5,461,43.44,5,0.146,online,0
47,42200.0,1,571,48.48,30,0.104,in_store,0
22,16300.0,1,453,17.16,15,0.112,online,0
56,76200.0,2,120,53.48,0,0.042,online,1
34,22000.0,0,14,22.53,10,0.068,online,0
35,49000.0,2,203,31.19,0,0.218,online,1
27,49600.0,2,277,49.33,25,0.253,online,1
42,67700.0,4,604,43.43,20,0.174,in_store,0
40,56500.0,2,154,50.81,0,0.047,in_store,0
54,59900.0,0,1,53.69,15,0.102,online,0
45,45400.0,1,375,36.84,10,0.081,online,0
36,37500.0,2,1,36.86,0,0.138,in_store,0
55,48800.0,3,720,44.39,25,0.0,online,0
36,43700.0,1,302,56.04,0,0.083,in_store,0
48,52800.0,3,163,18.31,15,0.082,in_store,0
22,35300.0,2,701,30.1,0,0.198,online,0
58,37000.0,1,214,27.77,20,0.151,in_store,0
43,17800.0,5,100,16.29,0,0.253,online,1
39,44700.0,2,300,39.23,5,0.247,in_store,1
57,55300.0,4,565,55.8,0,0.127,online,0
63,53900.0,3,519,39.23,0,0.063,in_store,0
61,59900.0,1,360,33.47,20,0.0,online,1
18,38500.0,5,700,40.73,10,0.243,online,1
52,41100.0,0,454,42.04,0,0.041,online,1
43,52600.0,4,444,34.08,20,0.137,in_store,0
58,67700.0,4,864,41.94,0,0.085,online,0
47,27900.0,6,437,37.1,20,0.179,in_store,1
25,15200.0,1,538,39.15,0,0.003,in_store,0
38,72400.0,1,1,43.06,0,0.045,in_store,1
40,23200.0,2,251,43.85,15,0.167,in_store,1
43,46400.0,2,434,34.03,20,0.029,online,1
43,42500.0,1,277,39.08,0,0.05,online,0
27,27700.0,1,478,33.93,0,0.0,online,1
57,80500.0,5,746,44.7,20,0.08,online,1
38,15000.0,1,123,31.52,25,0.113,online,0
36,31800.0,2,159,41.13,30,0.07,in_store,0
25,22500.0,2,1,36.9,0,0.0,online,0
42,35200.0,2,217,35.86,0,0.079,online,0
39,63500.0,5,493,37.11,20,0.237,in_store,1
53,66700.0,1,590,40.56,25,0.095,in_store,0
38,51800.0,2,448,28.39,0,0.083,in_store,1
33,35900.0,2,538,36.65,0,0.0,in_store,0
34,28100.0,0,1,36.29,25,0.104,online,0
42,28600.0,0,36,39.89,20,0.0,online,1
18,26800.0,1,442,39.92,10,0.273,online,1
45,44100.0,2,232,45.3,0,0.105,in_store,0
18,15000.0,0,275,38.52,0,0.0,in_store,1
30,31300.0,0,1,44.21,0,0.0,online,0
41,28900.0,3,552,41.15,20,0.133,online,0
43,18100.0,5,248,15.02,0,0.276,in_store,0
30,15000.0,1,305,23.31,0,0.0,in_store,0
32,48800.0,6,640,28.1,0,0.119,in_store,0
43,63800.0,3,439,39.26,0,0.072,online,0
33,47500.0,2,474,47.63,5,0.132,online,0
50,47600.0,3,59,47.13,0,0.056,in_store,0
52,47900.0,2,311,48.04,0,0.04,in_store,1
39,35900.0,1,560,25.8,25,0.069,online,0
46,40200.0,1,1,35.93,0,0.032,in_store,1
43,20400.0,1,228,29.37,20,0.304,online,0
46,26200.0,3,192,34.85,20,0.0,online,0
51,58800.0,1,436,42.43,25,0.038,online,0
19,30200.0,4,311,41.13,0,0.104,in_store,1
53,54400.0,2,200,58.92,10,0.216,online,0
45,56200.0,2,225,38.89,0,0.05,in_store,0
41,48800.0,1,480,41.38,10,0.0,in_store,0
37,43400.0,1,1,46.37,0,0.036,in_store,0
44,85500.0,2,642,52.43,15,0.08,online,1
30,65600.0,0,1,37.4,20,0.0,online,1
26,27100.0,2,1,34.46,5,0.0,in_store,0
41,42300.0,2,166,46.58,20,0.063,online,1
27,51200.0,2,1,51.07,0,0.074,online,0
28,32200.0,0,875,23.12,25,0.089,online,1
45,65700.0,4,238,37.81,10,0.295,in_store,1
43,31800.0,1,593,47.38,30,0.101,online,1
23,34000.0,1,642,31.51,25,0.058,in_store,1
55,39000.0,0,600,28.21,5,0.187,online,0
22,15000.0,0,242,51.17,15,0.069,online,1
33,57700.0,0,1,49.24,5,0.073,in_store,1
33,29100.0,3,344,40.27,0,0.142,in_store,1
24,55800.0,2,122,39.04,10,0.08,in_store,1
36,54600.0,1,599,54.92,25,0.077,online,1
50,51700.0,3,262,31.85,5,0.006,online,0
18,44100.0,3,256,36.4,0,0.026,in_store,0
23,29700.0,1,242,28.53,0,0.0,online,1
