customer_id,age,income,previous_purchases,campaign_response,customer_tenure_days,channel,avg_basket_size,discount,purchase
228,63,57400.0,2,0.099,364,in_store,38.29,20,0
4416,30,23400.0,3,0.052,224,online,22.29,10,0
3135,34,50900.0,3,0.167,427,online,45.31,15,1
4678,50,63300.0,5,0.122,93,online,43.88,15,1
3495,57,51100.0,2,0.0,358,in_store,39.2,0,0
4513,55,80200.0,6,0.204,546,in_store,47.17,15,0
241,29,50400.0,2,0.093,1,online,37.86,25,0
732,41,46600.0,1,0.0,305,in_store,45.37,0,1
30,45,20600.0,1,0.063,474,online,34.72,0,0
107,29,51100.0,2,0.135,576,in_store,18.55,20,1
4802,47,30200.0,4,0.11,367,in_store,21.32,5,1
3881,34,33700.0,1,0.012,407,online,48.8,5,0
1845,24,29300.0,0,0.0,286,online,38.54,20,0
3472,36,34900.0,2,0.0,12,online,25.83,10,0
2374,59,45600.0,2,0.0,110,in_store,35.3,10,1
4858,32,46600.0,1,0.141,8,in_store,33.8,25,1
1169,35,40900.0,1,0.095,24,in_store,34.96,0,0
2158,30,42200.0,0,0.105,247,online,30.72,0,1
2816,34,15000.0,1,0.082,466,in_store,37.42,0,0
799,52,42200.0,4,0.097,302,online,38.08,15,1
3987,27,26500.0,1,0.192,467,in_store,27.39,0,0
66,50,57800.0,4,0.267,208,in_store,42.72,5,1
2700,30,48200.0,0,0.015,246,in_store,23.02,25,0
1505,37,45700.0,3,0.19,584,in_store,40.44,0,1
180,43,37500.0,0,0.102,501,in_store,33.38,0,1
1422,37,52900.0,3,0.086,168,online,49.81,0,0
625,46,42300.0,1,0.192,1,online,31.78,0,0
24,38,28300.0,1,0.0,1,online,24.25,0,0
2060,27,36700.0,0,0.318,59,in_store,39.11,0,0
682,48,79400.0,6,0.102,519,in_store,49.37,20,1
1631,25,40000.0,1,0.2,240,online,25.91,0,0
1091,33,43800.0,2,0.057,456,in_store,39.96,0,0
502,51,19700.0,0,0.0,1,in_store,30.05,0,0
4444,28,17800.0,0,0.0,314,online,26.73,0,0
229,30,43900.0,0,0.0,491,online,36.17,0,0
4138,42,45200.0,1,0.134,238,in_store,44.22,0,1
4639,34,24500.0,0,0.189,108,in_store,27.56,0,0
3788,41,71400.0,1,0.0,1,in_store,50.7,25,1
2221,41,55900.0,1,0.111,58,in_store,37.86,20,0
3711,46,29400.0,1,0.0,603,online,42.17,0,0
1413,21,17100.0,1,0.24,1,online,15.43,10,1
2684,32,15000.0,0,0.054,478,in_store,24.34,25,1
85,26,46300.0,3,0.113,135,in_store,31.82,15,1
4455,47,69900.0,3,0.133,606,in_store,54.45,0,0
4587,46,65700.0,0,0.032,385,in_store,45.93,25,0
4309,44,45400.0,4,0.077,849,in_store,39.32,5,1
2379,41,25900.0,1,0.117,322,online,36.5,0,0
2697,46,40500.0,6,0.152,759,online,41.42,0,0
1210,44,38900.0,2,0.166,368,online,37.3,0,0
2766,32,39200.0,0,0.15,1,in_store,32.4,0,0
334,28,62300.0,0,0.119,42,online,34.51,0,1
2093,42,59300.0,0,0.024,136,in_store,40.39,20,1
200,38,40700.0,2,0.189,417,online,29.85,0,0
2883,49,52600.0,1,0.066,339,in_store,47.14,0,1
1433,30,35400.0,2,0.111,687,in_store,24.99,0,0
808,25,32700.0,0,0.018,193,in_store,34.89,0,1
4195,55,27900.0,4,0.179,643,online,35.02,15,1
3436,46,62400.0,6,0.248,361,online,38.66,0,1
3574,39,29500.0,4,0.074,915,online,39.9,0,1
1030,53,21500.0,1,0.187,364,in_store,40.32,0,1
3493,37,50200.0,3,0.112,1,online,49.52,10,0
1520,18,33300.0,1,0.086,502,online,27.63,0,0
4849,31,23800.0,0,0.052,1,online,24.64,20,1
1955,43,44400.0,1,0.125,239,online,44.33,0,1
2405,30,80500.0,6,0.098,575,in_store,52.45,15,1
4310,18,15000.0,0,0.031,389,in_store,18.16,0,0
4131,52,55200.0,3,0.097,1,in_store,43.31,0,0
2122,41,48600.0,3,0.239,266,in_store,27.02,0,0
80,36,32300.0,2,0.089,868,online,26.67,15,0
4293,30,15000.0,1,0.059,541,in_store,29.14,0,0
3292,43,71000.0,2,0.052,266,in_store,48.56,30,0
3045,42,39000.0,1,0.212,185,online,35.58,10,1
4733,67,46000.0,0,0.092,174,in_store,35.07,10,0
3167,29,37200.0,1,0.122,242,in_store,31.75,0,0
4542,43,38100.0,6,0.225,264,online,27.93,15,1
2074,37,44000.0,2,0.096,68,online,30.8,30,1
734,38,44600.0,0,0.186,425,in_store,34.92,30,0
3952,69,80000.0,6,0.334,504,in_store,36.97,25,0
3434,41,43500.0,1,0.121,481,in_store,32.29,15,1
2219,32,38500.0,0,0.093,24,in_store,30.42,0,0
1742,58,80100.0,3,0.113,733,in_store,47.61,15,1
297,44,37100.0,1,0.019,1,in_store,27.33,10,1
3560,30,31000.0,2,0.064,498,in_store,40.1,15,0
712,48,15000.0,2,0.016,853,in_store,29.51,15,1
897,32,48400.0,3,0.187,107,in_store,33.86,30,1
3950,40,62700.0,3,0.066,404,online,40.75,0,0
374,50,43000.0,4,0.129,564,in_store,43.19,0,1
1558,49,48200.0,2,0.109,478,online,40.44,0,0
4149,39,45900.0,3,0.022,1,in_store,40.36,10,0
1500,26,69000.0,3,0.095,415,in_store,53.53,0,1
4618,28,40400.0,2,0.077,252,in_store,19.56,30,1
472,35,34700.0,2,0.146,565,in_store,18.13,0,0
1035,34,36700.0,3,0.093,363,online,37.56,20,0
1515,20,15000.0,0,0.058,1,in_store,19.29,10,0
4237,42,59000.0,2,0.123,16,in_store,46.33,10,0
1733,37,38300.0,3,0.142,590,online,41.57,20,0
1271,58,63600.0,4,0.143,119,in_store,52.71,10,1
3935,45,73100.0,8,0.206,511,in_store,65.04,25,1
4437,35,28500.0,5,0.17,284,in_store,39.61,0,1
4419,44,58900.0,2,0.005,17,online,37.56,0,1
2586,52,46900.0,1,0.105,190,online,41.6,0,0
3636,25,38300.0,0,0.081,940,online,43.83,0,0
656,44,45600.0,0,0.138,482,online,31.78,25,0
1293,35,43500.0,0,0.163,110,in_store,37.86,25,1
4752,43,70300.0,1,0.045,475,online,55.76,25,1
427,50,42100.0,3,0.179,1,online,47.8,20,0
2421,18,33200.0,1,0.164,482,online,39.1,25,1
2136,36,80200.0,1,0.063,1,in_store,51.29,0,0
1075,29,38900.0,1,0.16,111,online,42.08,0,0
4840,45,57300.0,5,0.114,626,in_store,48.9,0,0
1323,40,46900.0,1,0.093,432,in_store,41.98,0,1
415,37,63700.0,4,0.0,565,online,51.62,25,1
2485,39,38800.0,1,0.063,1,online,42.08,20,1
2147,29,61800.0,2,0.142,252,in_store,48.71,0,1
590,59,43800.0,4,0.139,267,online,34.05,0,1
169,38,59200.0,3,0.135,1,online,47.3,0,1
3519,40,46800.0,7,0.269,617,in_store,45.98,30,1
2241,55,72400.0,5,0.318,309,in_store,47.21,15,1
997,49,55100.0,1,0.004,1,online,46.28,20,1
3670,42,47300.0,3,0.23,358,in_store,55.94,15,1
1865,43,43200.0,1,0.177,1,online,44.15,0,0
9,40,33200.0,2,0.094,224,online,21.19,20,1
3186,24,16000.0,0,0.0,443,online,16.4,0,1
498,36,51400.0,5,0.106,853,online,30.71,0,1
4335,47,63300.0,2,0.049,181,in_store,58.37,30,1
145,30,15000.0,2,0.129,60,online,11.54,0,0
658,42,41800.0,2,0.171,403,in_store,47.8,0,1
2026,22,55200.0,2,0.221,584,online,37.58,15,0
298,36,42000.0,2,0.061,172,in_store,33.22,0,1
3781,45,47900.0,3,0.057,2,in_store,33.08,20,0
1254,44,39600.0,1,0.0,124,in_store,23.96,0,0
152,28,35800.0,2,0.247,248,online,35.0,0,0
1744,24,56400.0,0,0.08,1,online,37.86,30,0
2628,58,32700.0,1,0.048,155,online,46.84,15,1
1198,29,46000.0,0,0.082,352,online,28.26,20,0
3228,39,24400.0,3,0.026,982,online,14.0,25,0
3162,47,74100.0,1,0.078,282,online,54.94,15,1
4835,21,25600.0,0,0.134,354,in_store,27.94,30,0
3409,46,64700.0,1,0.161,77,online,57.57,10,1
1393,33,46300.0,2,0.0,213,online,34.83,0,1
3941,41,15000.0,1,0.0,248,online,30.75,0,0
1414,55,51200.0,0,0.05,284,online,60.94,20,1
1540,58,53200.0,1,0.038,13,in_store,42.61,0,0
2588,57,42700.0,8,0.224,972,online,26.17,15,1
1706,63,61500.0,1,0.0,1,online,47.53,0,1
3833,38,26500.0,1,0.021,330,online,28.9,20,1
2999,50,58800.0,2,0.0,603,in_store,42.92,0,0
4530,57,36900.0,3,0.112,143,in_store,28.97,20,1
4260,36,31800.0,1,0.087,1,online,30.53,0,0
3610,40,31100.0,2,0.035,348,in_store,38.12,0,1
1445,38,44500.0,3,0.199,218,online,51.26,0,1
101,35,28700.0,2,0.127,1,in_store,31.62,0,0
2820,50,73300.0,6,0.244,674,online,53.81,15,0
1205,32,38900.0,2,0.018,137,in_store,35.03,30,1
1324,21,24600.0,3,0.206,1,in_store,26.01,0,0
1026,36,50100.0,2,0.0,431,online,50.86,0,0
4059,47,48500.0,2,0.182,1,in_store,35.24,0,0
1616,46,58300.0,1,0.203,226,in_store,42.44,0,1
2388,48,54000.0,3,0.189,201,in_store,55.78,10,1
1753,32,27800.0,2,0.16,363,in_store,24.03,0,1
4999,41,63000.0,2,0.155,441,online,40.65,15,1
1232,27,49300.0,4,0.078,150,online,37.52,0,0
4422,49,46800.0,1,0.156,1,in_store,37.61,25,1
3012,36,17200.0,1,0.051,338,in_store,27.04,0,0
2506,51,42200.0,1,0.077,130,in_store,25.59,10,0
4382,44,56300.0,2,0.017,291,in_store,42.77,0,0
1211,51,43700.0,5,0.149,955,online,26.04,10,1
3945,55,42800.0,3,0.148,1,in_store,51.33,15,0
1913,47,60600.0,2,0.11,113,online,41.9,0,1
3527,45,48100.0,3,0.112,673,in_store,43.91,0,0
2528,36,48900.0,1,0.031,1,in_store,54.13,0,0
2606,29,48900.0,1,0.0,304,in_store,50.06,0,1
3984,24,37300.0,1,0.157,321,online,37.92,0,1
473,37,50400.0,0,0.065,575,in_store,47.52,0,1
2844,49,40400.0,0,0.0,1,in_store,39.45,30,0
4215,39,23500.0,4,0.11,498,in_store,21.26,0,0
4081,53,43400.0,4,0.177,593,in_store,23.71,20,0
3596,70,63800.0,5,0.159,1,in_store,49.13,0,0
1256,32,53700.0,3,0.03,673,online,34.04,0,1
4773,36,35500.0,0,0.2,337,in_store,35.53,0,1
1748,44,58100.0,4,0.057,1064,online,56.86,0,1
3917,36,51200.0,0,0.143,32,in_store,38.35,0,0
4979,54,54900.0,2,0.055,534,in_store,52.48,15,0
3297,45,47800.0,4,0.032,493,in_store,39.48,0,1
3265,34,41700.0,3,0.104,225,online,40.48,10,1
249,75,74800.0,3,0.069,158,in_store,53.07,25,0
34,30,37600.0,3,0.072,377,online,45.11,20,0
2797,47,45400.0,3,0.052,44,online,29.18,0,0
3684,35,41500.0,0,0.039,1,in_store,32.15,5,1
506,33,26300.0,1,0.049,1,online,27.1,0,0
3081,34,30200.0,1,0.0,71,online,14.66,15,1
894,40,63200.0,1,0.152,682,in_store,61.82,20,1
627,35,47900.0,1,0.144,58,in_store,47.04,0,1
3190,24,37200.0,3,0.0,200,online,19.38,5,0
1673,42,29000.0,2,0.012,1,in_store,27.83,0,0
2518,57,54700.0,2,0.125,224,online,45.24,0,1
2723,19,38900.0,1,0.154,278,online,27.99,0,0
3040,39,69300.0,4,0.148,1022,online,45.37,15,0
1872,33,57900.0,0,0.105,23,online,38.86,0,0
2852,57,76000.0,2,0.172,24,online,44.64,20,0
970,40,68300.0,2,0.0,258,in_store,54.69,0,1
417,53,63700.0,3,0.083,389,in_store,35.33,0,1
1361,35,58000.0,0,0.0,242,online,46.55,0,0
231,22,45800.0,2,0.072,140,in_store,42.89,20,1
4871,26,23800.0,2,0.003,1,online,22.37,0,0
3660,40,55700.0,3,0.195,511,in_store,40.44,25,1
545,37,42300.0,1,0.005,1,online,32.91,25,0
1245,53,77800.0,9,0.274,525,online,51.08,15,0
3318,32,15000.0,0,0.032,104,in_store,18.55,5,0
995,39,30200.0,2,0.084,546,in_store,20.2,20,1
1621,47,48200.0,2,0.128,459,online,52.17,15,0
1757,61,53300.0,7,0.241,690,in_store,51.4,0,1
4821,34,34600.0,1,0.199,1,online,20.06,0,0
1341,30,34700.0,0,0.0,164,in_store,30.88,20,0
1819,46,51600.0,4,0.11,461,in_store,54.05,0,1
813,43,56100.0,1,0.0,1,online,43.9,20,0
3510,28,32200.0,2,0.136,571,online,39.44,0,0
3910,22,15000.0,2,0.238,1,in_store,15.11,20,0
3009,37,40500.0,2,0.061,658,in_store,36.48,0,1
3969,33,45900.0,0,0.068,326,online,39.67,20,1
4994,32,50200.0,2,0.188,432,online,45.7,5,1
3621,44,63800.0,4,0.18,289,online,61.52,10,1
1085,41,30000.0,4,0.276,252,online,37.26,20,1
1104,46,75700.0,2,0.18,316,in_store,40.34,5,1
932,45,38500.0,0,0.0,188,online,36.49,15,0
3059,32,62600.0,2,0.176,313,in_store,40.81,25,1
3879,24,27200.0,3,0.0,306,online,31.97,0,0
1145,40,59700.0,2,0.032,57,in_store,59.52,0,0
423,33,37800.0,3,0.069,207,in_store,22.99,20,0
1437,35,45400.0,1,0.089,355,online,45.82,0,0
725,29,40000.0,1,0.053,153,in_store,39.17,0,0
1418,52,51700.0,1,0.0,1,online,35.06,20,1
3738,59,81000.0,3,0.147,178,online,47.21,0,0
3567,49,53600.0,4,0.169,624,online,39.15,15,1
927,38,42500.0,3,0.141,57,in_store,19.95,5,1
2291,45,75500.0,4,0.219,197,in_store,50.73,0,0
150,42,27200.0,0,0.0,81,online,47.4,0,1
4090,49,28100.0,4,0.102,25,in_store,35.5,0,1
3102,34,38800.0,1,0.173,1,online,27.89,25,0
4093,31,55200.0,4,0.024,557,in_store,38.02,0,1
13,41,24900.0,1,0.138,254,in_store,40.51,10,0
469,53,60100.0,1,0.13,494,online,38.66,20,1
3264,59,60600.0,5,0.124,383,online,39.76,0,1
3874,25,43100.0,1,0.0,564,online,23.5,0,1
1894,18,44100.0,1,0.125,219,online,28.17,0,1
3705,46,40600.0,1,0.141,196,in_store,45.85,10,1
1438,18,46400.0,1,0.211,171,online,37.5,0,0
1860,23,40700.0,2,0.11,198,online,36.12,10,0
1841,33,67100.0,2,0.009,1,in_store,54.55,0,0
3659,29,47200.0,1,0.128,340,online,36.01,0,1
2105,37,40500.0,2,0.16,161,in_store,25.74,0,0
3612,31,31500.0,0,0.0,181,online,42.35,10,1
812,33,47500.0,1,0.099,384,online,44.67,20,0
2664,23,20500.0,1,0.166,393,in_store,30.17,0,0
1269,48,49800.0,2,0.178,49,online,35.71,0,1
1962,32,65600.0,3,0.125,386,in_store,49.59,0,1
3707,38,40800.0,4,0.094,598,online,39.27,0,1
2878,34,49000.0,7,0.35,186,online,24.89,5,1
4545,47,41900.0,2,0.082,70,in_store,33.96,20,0
4264,50,31200.0,0,0.082,158,online,21.01,25,1
394,46,37200.0,3,0.0,786,in_store,30.5,0,0
2631,41,61500.0,0,0.0,340,online,38.68,5,1
585,49,43400.0,2,0.18,62,online,30.83,0,1
4965,32,38500.0,0,0.031,372,online,33.97,0,1
492,44,15000.0,1,0.104,1,online,7.39,15,0
2651,27,15000.0,1,0.0,601,in_store,27.88,0,1
3041,55,48800.0,1,0.058,202,in_store,46.61,0,1
133,48,51200.0,4,0.16,708,online,51.86,0,0
1589,28,27300.0,0,0.0,356,online,29.03,0,0
1739,30,45400.0,3,0.0,66,online,21.74,0,1
4986,45,62600.0,3,0.06,333,in_store,43.59,25,1
1019,36,58600.0,1,0.031,256,in_store,41.03,25,1
4379,34,70900.0,1,0.0,56,in_store,40.04,0,1
4703,18,38900.0,1,0.163,42,in_store,38.95,20,1
2308,40,18200.0,1,0.104,1,online,30.93,25,0
288,41,34600.0,0,0.269,111,in_store,33.92,0,1
2211,49,47200.0,5,0.015,170,in_store,35.23,10,0
3130,44,37900.0,4,0.121,293,in_store,39.46,0,1
4576,44,58300.0,2,0.069,30,in_store,41.84,25,0
1407,43,41000.0,5,0.269,629,online,30.3,0,1
2367,53,47900.0,2,0.116,267,in_store,38.36,25,1
2292,54,42400.0,3,0.11,596,in_store,36.25,15,1
950,18,78100.0,3,0.092,395,in_store,41.99,0,0
3478,37,74000.0,5,0.248,653,in_store,45.46,15,0
3887,28,34600.0,1,0.185,216,in_store,44.21,5,0
3405,22,35500.0,4,0.148,1,in_store,39.75,0,0
2296,51,57200.0,3,0.054,130,in_store,38.29,25,1
4224,26,21800.0,1,0.037,1,in_store,33.44,0,0
4612,64,72200.0,3,0.056,420,in_store,41.52,20,0
4486,32,47800.0,5,0.118,501,online,36.75,20,1
4340,37,47900.0,2,0.118,706,in_store,54.87,10,0
2222,31,38100.0,0,0.088,368,in_store,49.79,30,0
1042,52,52900.0,1,0.0,812,in_store,43.42,10,1
3846,18,46500.0,4,0.193,1,online,38.38,10,0
4339,40,39300.0,5,0.044,1107,online,31.36,0,0
3883,44,33000.0,4,0.086,109,in_store,32.62,15,1
2305,44,47500.0,2,0.124,59,in_store,42.78,0,0
4403,32,31800.0,1,0.129,1,in_store,9.32,0,1
430,45,83200.0,4,0.11,191,in_store,54.96,0,0
1045,31,50700.0,2,0.098,483,in_store,46.25,0,1
1808,40,34000.0,4,0.136,336,in_store,15.55,0,0
4953,39,56600.0,2,0.167,355,online,33.72,5,1
3655,47,32400.0,0,0.0,401,online,18.24,20,0
830,18,21900.0,0,0.094,334,online,23.73,20,1
2978,38,34800.0,4,0.096,109,online,32.85,25,0
1719,47,21600.0,2,0.07,104,online,35.82,0,0
466,34,48500.0,1,0.195,1,in_store,39.55,0,0
3961,56,53500.0,2,0.153,479,online,37.86,0,0
1372,50,84200.0,2,0.027,475,online,57.06,10,1
1457,68,66900.0,3,0.182,564,in_store,44.21,15,1
1188,44,49200.0,2,0.0,171,online,48.07,0,1
3163,47,33000.0,3,0.055,104,in_store,47.27,0,0
4646,30,21400.0,0,0.0,58,in_store,38.42,30,1
678,45,54600.0,1,0.0,100,online,28.79,25,1
487,31,67700.0,3,0.234,209,in_store,51.16,5,1
2232,27,52200.0,2,0.06,302,in_store,50.05,0,1
1039,50,40300.0,3,0.181,248,online,35.67,10,0
764,48,79900.0,3,0.151,179,online,69.47,0,0
2956,28,15000.0,0,0.0,187,online,43.38,0,1
3656,44,50300.0,2,0.035,388,in_store,48.15,0,1
3755,37,56300.0,1,0.056,673,in_store,37.59,0,0
3652,43,69500.0,4,0.127,701,online,47.07,25,1
766,19,32700.0,1,0.0,154,in_store,26.43,0,0
4271,25,33800.0,0,0.082,869,online,28.7,15,0
291,37,50500.0,2,0.0,41,online,44.79,0,0
2120,49,30600.0,1,0.017,133,in_store,24.56,15,0
3540,30,43000.0,0,0.132,134,in_store,35.34,0,0
253,61,85700.0,4,0.24,943,in_store,62.35,25,1
3261,41,22800.0,1,0.215,1,in_store,27.67,20,1
351,44,39700.0,2,0.1,650,in_store,18.06,0,1
3708,47,58900.0,2,0.147,209,online,36.4,0,0
3204,53,42200.0,1,0.0,500,in_store,36.94,0,1
1740,41,31000.0,1,0.075,278,in_store,17.95,20,0
677,69,41000.0,4,0.021,220,in_store,42.36,0,1
91,48,55600.0,2,0.138,39,in_store,55.25,0,1
3827,50,55500.0,0,0.012,591,in_store,36.4,0,0
4881,34,72100.0,0,0.0,105,in_store,47.49,0,0
4119,32,38700.0,2,0.122,308,online,35.29,10,0
3056,26,37300.0,0,0.045,1,in_store,31.37,0,1
27,46,47800.0,6,0.106,525,online,22.85,0,1
3717,49,42900.0,2,0.207,206,in_store,24.44,0,0
4898,55,55300.0,5,0.118,417,in_store,48.16,5,0
722,54,67200.0,4,0.18,59,in_store,39.31,10,0
2064,45,45100.0,4,0.105,940,online,36.62,30,1
3964,35,18600.0,3,0.111,332,in_store,35.27,0,1
2471,34,44100.0,3,0.206,713,in_store,47.25,30,0
2318,45,46400.0,3,0.203,422,in_store,39.86,0,1
2859,36,39100.0,4,0.18,204,in_store,31.63,15,0
878,37,33600.0,3,0.157,96,in_store,34.21,5,0
3317,38,51200.0,2,0.154,348,in_store,35.89,0,0
3789,61,39700.0,2,0.223,208,in_store,38.78,0,0
255,37,55100.0,3,0.098,482,in_store,36.8,15,1
4822,32,20000.0,1,0.024,1,online,29.38,20,0
4796,29,34700.0,0,0.0,389,in_store,35.35,0,1
4249,32,59300.0,1,0.051,341,online,52.07,0,0
4321,31,51100.0,2,0.199,310,online,21.14,0,0
4734,18,30600.0,0,0.0,31,in_store,34.02,0,1
2100,59,64400.0,3,0.134,372,in_store,50.46,25,1
4740,39,59200.0,1,0.0,491,online,56.48,15,1
3981,44,55100.0,3,0.115,323,in_store,45.44,25,1
2535,38,50300.0,4,0.044,475,in_store,35.56,20,0
4658,41,58800.0,3,0.133,312,in_store,22.93,20,0
316,36,58700.0,2,0.031,265,in_store,38.36,0,0
1262,41,53300.0,4,0.199,366,in_store,37.76,0,0
842,40,41200.0,3,0.192,850,online,25.42,15,1
2744,19,37300.0,2,0.04,358,in_store,37.43,0,0
554,64,52700.0,2,0.114,628,in_store,42.64,0,0
2023,42,37800.0,1,0.146,524,in_store,39.83,0,1
3132,32,36600.0,2,0.179,427,in_store,39.01,0,1
70,38,62300.0,4,0.137,328,in_store,50.09,10,1
3605,41,63500.0,3,0.0,7,in_store,44.36,15,0
747,62,33500.0,2,0.018,316,online,40.25,25,1
2424,35,44900.0,4,0.145,483,in_store,45.8,25,1
4457,33,45400.0,2,0.024,289,online,30.39,0,0
1703,42,26900.0,3,0.011,409,in_store,27.25,0,0
3122,42,60600.0,2,0.115,6,in_store,36.79,15,0
4694,31,75300.0,2,0.181,1,in_store,58.82,25,0
3354,30,19400.0,0,0.0,1,in_store,28.49,0,0
2068,40,15000.0,1,0.086,524,in_store,18.05,30,1
3649,56,49800.0,1,0.051,423,in_store,44.3,0,0
3996,32,53200.0,7,0.219,581,online,46.05,20,1
2154,27,38300.0,1,0.007,249,online,27.93,0,1
1840,29,36100.0,0,0.093,98,online,34.61,25,1
388,46,45600.0,0,0.0,136,online,35.81,0,1
2469,48,53200.0,6,0.076,688,online,34.77,0,0
3703,31,39200.0,2,0.126,213,in_store,34.05,20,0
3932,49,30400.0,3,0.0,406,in_store,20.9,25,0
3719,45,70000.0,5,0.135,634,in_store,45.49,20,1
1371,22,42200.0,1,0.047,1,online,31.13,0,0
411,22,44500.0,0,0.154,751,in_store,36.12,0,0
1439,25,46700.0,2,0.272,632,in_store,35.76,0,1
110,19,39800.0,1,0.076,499,online,34.18,0,1
4057,50,82200.0,5,0.158,380,in_store,71.49,15,1
1136,55,55600.0,3,0.13,35,online,43.02,20,0
2128,34,29200.0,0,0.0,422,in_store,20.98,15,1
2610,24,33900.0,2,0.186,305,in_store,36.31,30,1
692,37,38000.0,0,0.0,236,online,36.58,0,0
1579,18,15000.0,0,0.0,1,online,30.17,0,0
2963,44,79000.0,0,0.0,655,online,55.74,20,1
4142,80,87900.0,3,0.145,291,in_store,60.49,30,1
3706,37,36100.0,1,0.0,492,in_store,42.87,0,1
3255,36,39600.0,1,0.111,135,in_store,52.05,0,1
4812,35,19400.0,1,0.0,646,in_store,31.16,0,0
486,38,55900.0,1,0.0,7,in_store,35.54,0,0
556,36,45100.0,0,0.111,314,online,41.61,0,0
4632,21,57400.0,5,0.251,459,in_store,40.23,10,1
4421,54,42800.0,5,0.146,461,online,43.44,5,0
2772,47,42200.0,1,0.104,571,in_store,48.48,30,0
2861,22,16300.0,1,0.112,453,online,17.16,15,0
1109,56,76200.0,2,0.042,120,online,53.48,0,1
3913,34,22000.0,0,0.068,14,online,22.53,10,0
2270,35,49000.0,2,0.218,203,online,31.19,0,1
3931,27,49600.0,2,0.253,277,online,49.33,25,1
178,42,67700.0,4,0.174,604,in_store,43.43,20,0
2906,40,56500.0,2,0.047,154,in_store,50.81,0,0
916,54,59900.0,0,0.102,1,online,53.69,15,0
81,45,45400.0,1,0.081,375,online,36.84,10,0
3269,36,37500.0,2,0.138,1,in_store,36.86,0,0
578,55,48800.0,3,0.0,720,online,44.39,25,0
2300,36,43700.0,1,0.083,302,in_store,56.04,0,0
3312,48,52800.0,3,0.082,163,in_store,18.31,15,0
3795,22,35300.0,2,0.198,701,online,30.1,0,0
1392,58,37000.0,1,0.151,214,in_store,27.77,20,0
222,43,17800.0,5,0.253,100,online,16.29,0,1
94,39,44700.0,2,0.247,300,in_store,39.23,5,1
3647,57,55300.0,4,0.127,565,online,55.8,0,0
4360,63,53900.0,3,0.063,519,in_store,39.23,0,0
843,61,59900.0,1,0.0,360,online,33.47,20,1
539,18,38500.0,5,0.243,700,online,40.73,10,1
3015,52,41100.0,0,0.041,454,online,42.04,0,1
1435,43,52600.0,4,0.137,444,in_store,34.08,20,0
1056,58,67700.0,4,0.085,864,online,41.94,0,0
3774,47,27900.0,6,0.179,437,in_store,37.1,20,1
3687,25,15200.0,1,0.003,538,in_store,39.15,0,0
811,38,72400.0,1,0.045,1,in_store,43.06,0,1
2216,40,23200.0,2,0.167,251,in_store,43.85,15,1
2987,43,46400.0,2,0.029,434,online,34.03,20,1
735,43,42500.0,1,0.05,277,online,39.08,0,0
