customer_id,optimal_discount,discount_fraction,predicted_revenue,marketing_cost
3560,0.0,0.0,19.54,0.0
712,15.0,0.15,14.5,4.43
897,5.0,0.05,16.54,1.69
3950,5.0,0.05,19.88,2.04
374,0.0,0.0,21.04,0.0
1558,5.0,0.05,19.73,2.02
4149,5.0,0.05,19.71,2.02
1500,0.0,0.0,26.08,0.0
4618,0.0,0.0,9.53,0.0
472,30.0,0.3,9.01,5.44
1035,0.0,0.0,18.3,0.0
1515,5.0,0.05,9.42,0.96
4237,0.0,0.0,22.57,0.0
1733,0.0,0.0,20.25,0.0
1271,0.0,0.0,25.68,0.0
3935,0.0,0.0,31.69,0.0
4437,5.0,0.05,19.33,1.98
4419,5.0,0.05,18.33,1.88
2586,5.0,0.05,20.3,2.08
3636,0.0,0.0,21.35,0.0
656,0.0,0.0,15.48,0.0
1293,5.0,0.05,18.49,1.89
4752,0.0,0.0,27.16,0.0
427,0.0,0.0,23.29,0.0
2421,0.0,0.0,19.05,0.0
2136,0.0,0.0,24.99,0.0
1075,0.0,0.0,20.5,0.0
4840,5.0,0.05,23.87,2.45
1323,0.0,0.0,20.45,0.0
415,0.0,0.0,25.15,0.0
2485,0.0,0.0,20.5,0.0
2147,0.0,0.0,23.73,0.0
590,5.0,0.05,16.62,1.7
169,0.0,0.0,23.04,0.0
3519,0.0,0.0,22.4,0.0
2241,5.0,0.05,23.04,2.36
997,0.0,0.0,22.55,0.0
3670,5.0,0.05,27.29,2.8
1865,5.0,0.05,21.55,2.21
9,5.0,0.05,10.35,1.06
3186,0.0,0.0,7.99,0.0
498,0.0,0.0,14.96,0.0
4335,5.0,0.05,28.48,2.92
145,10.0,0.1,5.65,1.15
658,0.0,0.0,23.29,0.0
2026,0.0,0.0,18.31,0.0
298,5.0,0.05,16.22,1.66
3781,0.0,0.0,16.12,0.0
1254,5.0,0.05,11.69,1.2
152,5.0,0.05,17.1,1.75
1744,0.0,0.0,18.44,0.0
2628,0.0,0.0,22.82,0.0
1198,0.0,0.0,13.77,0.0
3228,15.0,0.15,6.86,2.1
3162,5.0,0.05,26.81,2.75
4835,0.0,0.0,13.61,0.0
3409,5.0,0.05,28.09,2.88
1393,0.0,0.0,16.97,0.0
3941,5.0,0.05,15.03,1.54
1414,5.0,0.05,29.75,3.05
1540,0.0,0.0,20.76,0.0
2588,15.0,0.15,12.84,3.93
1706,0.0,0.0,23.16,0.0
3833,5.0,0.05,14.1,1.45
2999,5.0,0.05,20.94,2.15
4530,0.0,0.0,14.11,0.0
4260,5.0,0.05,14.91,1.53
3610,0.0,0.0,18.57,0.0
1445,0.0,0.0,24.97,0.0
101,10.0,0.1,15.49,3.16
2820,0.0,0.0,26.21,0.0
1205,0.0,0.0,17.07,0.0
1324,15.0,0.15,12.77,3.9
1026,0.0,0.0,24.78,0.0
4059,10.0,0.1,17.27,3.52
1616,0.0,0.0,20.68,0.0
2388,0.0,0.0,27.17,0.0
1753,10.0,0.1,11.78,2.4
4999,5.0,0.05,19.85,2.03
1232,0.0,0.0,18.28,0.0
4422,10.0,0.1,18.42,3.76
3012,0.0,0.0,13.17,0.0
2506,0.0,0.0,12.47,0.0
4382,5.0,0.05,20.88,2.14
1211,10.0,0.1,12.78,2.6
3945,0.0,0.0,25.01,0.0
1913,0.0,0.0,20.41,0.0
3527,5.0,0.05,21.42,2.2
2528,0.0,0.0,26.37,0.0
2606,0.0,0.0,24.39,0.0
3984,0.0,0.0,18.47,0.0
473,0.0,0.0,23.15,0.0
2844,0.0,0.0,19.22,0.0
4215,30.0,0.3,10.51,6.38
4081,0.0,0.0,11.55,0.0
3596,0.0,0.0,23.93,0.0
1256,0.0,0.0,16.58,0.0
4773,0.0,0.0,17.31,0.0
1748,0.0,0.0,27.7,0.0
3917,5.0,0.05,18.73,1.92
4979,0.0,0.0,25.57,0.0
3297,0.0,0.0,19.23,0.0
3265,5.0,0.05,19.76,2.02
249,0.0,0.0,25.85,0.0
34,0.0,0.0,21.98,0.0
2797,5.0,0.05,14.24,1.46
3684,5.0,0.05,15.7,1.61
506,15.0,0.15,13.31,4.07
3081,5.0,0.05,7.15,0.73
894,5.0,0.05,30.17,3.09
627,0.0,0.0,22.92,0.0
3190,0.0,0.0,9.44,0.0
1673,15.0,0.15,13.68,4.17
2518,0.0,0.0,22.04,0.0
2723,5.0,0.05,13.66,1.4
3040,0.0,0.0,22.1,0.0
1872,5.0,0.05,18.96,1.94
2852,0.0,0.0,21.75,0.0
970,0.0,0.0,26.64,0.0
417,0.0,0.0,17.21,0.0
1361,0.0,0.0,22.68,0.0
231,5.0,0.05,20.92,2.14
4871,15.0,0.15,10.98,3.36
3660,5.0,0.05,19.74,2.02
545,5.0,0.05,16.07,1.65
1245,0.0,0.0,24.88,0.0
3318,0.0,0.0,9.04,0.0
995,10.0,0.1,9.91,2.02
1621,0.0,0.0,25.42,0.0
1757,5.0,0.05,25.08,2.57
4821,20.0,0.2,9.89,4.01
1341,0.0,0.0,15.04,0.0
1819,0.0,0.0,26.33,0.0
813,0.0,0.0,21.39,0.0
3510,0.0,0.0,19.21,0.0
3910,10.0,0.1,7.4,1.51
3009,0.0,0.0,17.77,0.0
3969,10.0,0.1,19.42,3.97
4994,0.0,0.0,22.26,0.0
3621,5.0,0.05,30.03,3.08
1085,10.0,0.1,18.25,3.73
1104,5.0,0.05,19.7,2.02
932,0.0,0.0,17.78,0.0
3059,0.0,0.0,19.88,0.0
3879,0.0,0.0,15.57,0.0
1145,0.0,0.0,29.0,0.0
423,0.0,0.0,11.2,0.0
1437,0.0,0.0,22.32,0.0
725,0.0,0.0,19.08,0.0
1418,0.0,0.0,17.08,0.0
3738,5.0,0.05,23.04,2.36
3567,30.0,0.3,19.35,11.74
927,30.0,0.3,9.9,5.98
2291,5.0,0.05,24.77,2.54
150,0.0,0.0,23.09,0.0
4090,5.0,0.05,17.32,1.78
3102,10.0,0.1,13.64,2.79
4093,0.0,0.0,18.52,0.0
13,0.0,0.0,19.74,0.0
469,0.0,0.0,18.83,0.0
3264,0.0,0.0,19.37,0.0
3874,0.0,0.0,11.45,0.0
1894,0.0,0.0,13.72,0.0
3705,0.0,0.0,22.34,0.0
1438,0.0,0.0,18.27,0.0
1860,0.0,0.0,17.6,0.0
1841,0.0,0.0,26.58,0.0
3659,0.0,0.0,17.54,0.0
2105,30.0,0.3,12.74,7.72
3612,0.0,0.0,20.63,0.0
812,0.0,0.0,21.76,0.0
2664,0.0,0.0,14.7,0.0
1269,5.0,0.05,17.45,1.79
1962,0.0,0.0,24.16,0.0
3707,0.0,0.0,19.13,0.0
2878,10.0,0.1,12.19,2.49
4545,5.0,0.05,16.59,1.7
4264,0.0,0.0,10.24,0.0
394,10.0,0.1,14.96,3.05
2631,5.0,0.05,18.88,1.93
585,10.0,0.1,15.1,3.08
4965,0.0,0.0,16.55,0.0
492,20.0,0.2,3.63,1.48
2651,0.0,0.0,13.58,0.0
3041,0.0,0.0,22.71,0.0
133,5.0,0.05,25.32,2.59
1589,15.0,0.15,14.23,4.35
1739,0.0,0.0,10.59,0.0
4986,0.0,0.0,21.24,0.0
1019,5.0,0.05,20.04,2.05
4379,0.0,0.0,19.51,0.0
4703,0.0,0.0,18.98,0.0
2308,0.0,0.0,15.07,0.0
288,5.0,0.05,16.57,1.7
2211,5.0,0.05,17.19,1.76
3130,0.0,0.0,19.22,0.0
4576,0.0,0.0,20.38,0.0
1407,0.0,0.0,14.76,0.0
2367,0.0,0.0,18.69,0.0
2292,10.0,0.1,17.75,3.62
950,0.0,0.0,20.46,0.0
3478,0.0,0.0,22.15,0.0
3887,0.0,0.0,21.54,0.0
3405,0.0,0.0,19.37,0.0
2296,5.0,0.05,18.69,1.91
4224,15.0,0.15,16.42,5.02
4612,0.0,0.0,20.23,0.0
4486,0.0,0.0,17.9,0.0
4340,0.0,0.0,26.73,0.0
2222,0.0,0.0,24.26,0.0
1042,0.0,0.0,21.15,0.0
3846,0.0,0.0,18.7,0.0
4339,5.0,0.05,15.32,1.57
3883,0.0,0.0,15.89,0.0
2305,0.0,0.0,20.84,0.0
4403,25.0,0.25,4.62,2.33
430,5.0,0.05,26.81,2.75
1045,0.0,0.0,22.53,0.0
1808,25.0,0.25,7.7,3.89
4953,5.0,0.05,16.46,1.69
3655,0.0,0.0,8.89,0.0
830,0.0,0.0,11.56,0.0
2978,0.0,0.0,16.0,0.0
1719,5.0,0.05,17.48,1.79
466,10.0,0.1,19.38,3.96
3961,5.0,0.05,18.48,1.89
1372,0.0,0.0,27.8,0.0
1457,0.0,0.0,21.54,0.0
1188,0.0,0.0,23.42,0.0
3163,0.0,0.0,23.03,0.0
4646,5.0,0.05,18.75,1.92
678,15.0,0.15,14.11,4.32
487,5.0,0.05,24.99,2.56
2232,0.0,0.0,24.38,0.0
1039,0.0,0.0,17.38,0.0
764,5.0,0.05,33.9,3.47
2956,0.0,0.0,21.13,0.0
3656,0.0,0.0,23.46,0.0
3755,0.0,0.0,18.31,0.0
3652,0.0,0.0,22.93,0.0
766,0.0,0.0,12.88,0.0
4271,5.0,0.05,14.01,1.44
291,0.0,0.0,21.82,0.0
2120,0.0,0.0,11.96,0.0
3540,0.0,0.0,17.22,0.0
253,0.0,0.0,30.38,0.0
3261,15.0,0.15,13.6,4.15
351,5.0,0.05,8.82,0.9
3708,5.0,0.05,17.79,1.82
3204,0.0,0.0,18.0,0.0
1740,0.0,0.0,8.74,0.0
677,0.0,0.0,20.64,0.0
91,0.0,0.0,26.92,0.0
3827,0.0,0.0,17.73,0.0
4881,0.0,0.0,23.14,0.0
4119,0.0,0.0,17.19,0.0
3056,0.0,0.0,15.28,0.0
27,5.0,0.05,11.15,1.14
3717,25.0,0.25,12.08,6.11
4898,0.0,0.0,23.46,0.0
722,0.0,0.0,19.15,0.0
2064,5.0,0.05,17.9,1.83
3964,0.0,0.0,17.18,0.0
2471,0.0,0.0,23.02,0.0
2318,0.0,0.0,19.42,0.0
2859,10.0,0.1,15.51,3.16
878,0.0,0.0,16.67,0.0
3317,5.0,0.05,17.52,1.79
3789,5.0,0.05,18.94,1.94
255,0.0,0.0,17.93,0.0
4822,10.0,0.1,14.38,2.94
4796,0.0,0.0,17.22,0.0
4249,0.0,0.0,25.37,0.0
4321,5.0,0.05,10.32,1.06
4734,0.0,0.0,16.57,0.0
2100,5.0,0.05,24.63,2.52
4740,0.0,0.0,27.52,0.0
3981,0.0,0.0,22.14,0.0
2535,0.0,0.0,17.32,0.0
4658,5.0,0.05,11.21,1.15
316,10.0,0.1,18.78,3.84
1262,5.0,0.05,18.44,1.89
842,25.0,0.25,12.53,6.36
2744,0.0,0.0,18.23,0.0
554,5.0,0.05,20.81,2.13
2023,0.0,0.0,19.4,0.0
3132,0.0,0.0,19.0,0.0
70,5.0,0.05,24.45,2.5
3605,0.0,0.0,21.61,0.0
747,0.0,0.0,19.61,0.0
2424,0.0,0.0,22.31,0.0
4457,5.0,0.05,14.85,1.52
1703,10.0,0.1,13.33,2.73
3122,10.0,0.1,18.0,3.68
4694,5.0,0.05,28.71,2.94
3354,20.0,0.2,14.03,5.7
2068,5.0,0.05,8.82,0.9
3649,0.0,0.0,21.58,0.0
3996,0.0,0.0,22.43,0.0
2154,0.0,0.0,13.61,0.0
1840,0.0,0.0,16.86,0.0
388,0.0,0.0,17.45,0.0
2469,5.0,0.05,16.97,1.74
3703,0.0,0.0,16.59,0.0
3932,0.0,0.0,10.18,0.0
3719,10.0,0.1,22.27,4.55
1371,5.0,0.05,15.2,1.56
411,0.0,0.0,17.6,0.0
1439,0.0,0.0,17.42,0.0
110,0.0,0.0,16.65,0.0
4057,5.0,0.05,34.88,3.57
1136,0.0,0.0,20.96,0.0
2128,0.0,0.0,10.22,0.0
2610,0.0,0.0,17.69,0.0
692,0.0,0.0,17.82,0.0
1579,20.0,0.2,14.87,6.03
2963,0.0,0.0,27.15,0.0
4142,5.0,0.05,29.52,3.02
3706,0.0,0.0,20.88,0.0
3255,0.0,0.0,25.36,0.0
4812,10.0,0.1,15.27,3.12
486,0.0,0.0,17.31,0.0
556,0.0,0.0,20.27,0.0
4632,5.0,0.05,19.63,2.01
4421,0.0,0.0,21.16,0.0
2772,0.0,0.0,23.62,0.0
2861,0.0,0.0,8.36,0.0
1109,0.0,0.0,26.05,0.0
3913,15.0,0.15,11.07,3.38
2270,5.0,0.05,15.23,1.56
3931,0.0,0.0,24.03,0.0
178,5.0,0.05,21.2,2.17
2906,0.0,0.0,24.75,0.0
916,0.0,0.0,26.16,0.0
81,0.0,0.0,17.95,0.0
3269,5.0,0.05,18.02,1.84
578,0.0,0.0,21.63,0.0
2300,0.0,0.0,27.3,0.0
3312,5.0,0.05,8.94,0.92
3795,10.0,0.1,14.74,3.01
1392,0.0,0.0,13.53,0.0
222,5.0,0.05,7.96,0.81
94,5.0,0.05,19.16,1.96
3647,0.0,0.0,27.18,0.0
4360,0.0,0.0,19.11,0.0
843,0.0,0.0,16.31,0.0
539,0.0,0.0,19.84,0.0
3015,0.0,0.0,20.48,0.0
1435,0.0,0.0,16.6,0.0
1056,5.0,0.05,20.46,2.1
3774,5.0,0.05,18.12,1.86
3687,0.0,0.0,19.07,0.0
811,0.0,0.0,20.98,0.0
2216,5.0,0.05,21.4,2.19
2987,0.0,0.0,16.58,0.0
735,5.0,0.05,19.09,1.95
4521,0.0,0.0,16.53,0.0
1863,5.0,0.05,21.81,2.24
4072,0.0,0.0,15.36,0.0
531,0.0,0.0,20.04,0.0
2923,0.0,0.0,17.98,0.0
3413,0.0,0.0,17.47,0.0
3127,5.0,0.05,18.11,1.86
3624,0.0,0.0,19.76,0.0
4141,0.0,0.0,13.83,0.0
1747,0.0,0.0,17.85,0.0
684,0.0,0.0,17.68,0.0
4568,0.0,0.0,19.43,0.0
1130,0.0,0.0,19.45,0.0
4275,0.0,0.0,22.07,0.0
2652,0.0,0.0,18.77,0.0
801,0.0,0.0,21.54,0.0
2118,0.0,0.0,20.05,0.0
3381,5.0,0.05,7.35,0.75
4267,0.0,0.0,11.36,0.0
220,20.0,0.2,13.81,5.62
1870,0.0,0.0,19.13,0.0
2246,0.0,0.0,23.2,0.0
4357,0.0,0.0,22.96,0.0
4085,0.0,0.0,23.4,0.0
4695,5.0,0.05,12.6,1.29
2678,0.0,0.0,17.5,0.0
44,10.0,0.1,14.36,2.94
2285,5.0,0.05,17.02,1.74
211,0.0,0.0,20.67,0.0
1618,0.0,0.0,20.04,0.0
355,0.0,0.0,28.7,0.0
3810,5.0,0.05,19.0,1.94
2314,0.0,0.0,20.16,0.0
4564,0.0,0.0,22.59,0.0
562,0.0,0.0,25.54,0.0
368,0.0,0.0,18.22,0.0
587,5.0,0.05,16.82,1.72
3735,5.0,0.05,22.73,2.33
2846,0.0,0.0,24.88,0.0
136,10.0,0.1,11.32,2.31
804,0.0,0.0,18.42,0.0
48,0.0,0.0,23.08,0.0
3159,15.0,0.15,15.48,4.73
2322,0.0,0.0,13.74,0.0
4857,0.0,0.0,24.93,0.0
4684,0.0,0.0,23.99,0.0
4976,0.0,0.0,19.62,0.0
1935,5.0,0.05,19.07,1.95
62,0.0,0.0,26.76,0.0
1768,0.0,0.0,15.52,0.0
634,0.0,0.0,17.73,0.0
96,0.0,0.0,13.9,0.0
479,0.0,0.0,24.31,0.0
1724,5.0,0.05,13.96,1.43
4823,0.0,0.0,16.01,0.0
4603,0.0,0.0,22.6,0.0
1118,10.0,0.1,14.28,2.92
2777,5.0,0.05,23.93,2.45
4222,0.0,0.0,23.55,0.0
323,0.0,0.0,22.64,0.0
1294,0.0,0.0,15.06,0.0
2230,0.0,0.0,25.3,0.0
1659,0.0,0.0,26.93,0.0
1570,5.0,0.05,11.88,1.22
2441,5.0,0.05,15.51,1.59
2496,0.0,0.0,22.97,0.0
3679,30.0,0.3,3.11,1.79
2961,5.0,0.05,16.87,1.73
292,5.0,0.05,11.38,1.16
1002,0.0,0.0,14.72,0.0
2095,10.0,0.1,19.24,3.93
534,5.0,0.05,14.43,1.48
4517,0.0,0.0,26.16,0.0
1096,5.0,0.05,27.14,2.78
3793,5.0,0.05,12.56,1.29
2012,0.0,0.0,24.66,0.0
4598,5.0,0.05,15.13,1.55
1559,0.0,0.0,16.28,0.0
1171,0.0,0.0,24.09,0.0
4037,0.0,0.0,19.99,0.0
2418,0.0,0.0,20.39,0.0
4064,0.0,0.0,22.76,0.0
4722,10.0,0.1,12.55,2.56
3796,5.0,0.05,16.12,1.65
2084,0.0,0.0,22.79,0.0
4622,0.0,0.0,17.08,0.0
1011,0.0,0.0,9.36,0.0
4779,0.0,0.0,14.04,0.0
752,5.0,0.05,14.87,1.52
3937,0.0,0.0,13.52,0.0
4730,0.0,0.0,31.11,0.0
4536,0.0,0.0,23.94,0.0
4931,5.0,0.05,16.28,1.67
1426,5.0,0.05,29.11,2.98
1877,0.0,0.0,19.89,0.0
1546,0.0,0.0,13.27,0.0
4889,0.0,0.0,14.08,0.0
3236,0.0,0.0,15.5,0.0
4163,0.0,0.0,27.75,0.0
1193,15.0,0.15,9.91,3.03
2253,0.0,0.0,19.56,0.0
2860,5.0,0.05,17.0,1.74
3455,5.0,0.05,19.64,2.01
1895,5.0,0.05,21.77,2.23
671,5.0,0.05,19.01,1.94
829,0.0,0.0,21.46,0.0
2145,10.0,0.1,15.57,3.18
1700,0.0,0.0,22.51,0.0
908,5.0,0.05,12.9,1.32
2175,5.0,0.05,21.27,2.18
71,10.0,0.1,8.76,1.79
912,0.0,0.0,16.12,0.0
3866,0.0,0.0,18.74,0.0
2621,0.0,0.0,8.78,0.0
3253,0.0,0.0,17.4,0.0
4225,30.0,0.3,9.64,5.82
2754,5.0,0.05,19.42,1.99
839,0.0,0.0,21.51,0.0
1613,10.0,0.1,13.81,2.83
1150,0.0,0.0,21.52,0.0
3535,0.0,0.0,20.91,0.0
1076,0.0,0.0,16.43,0.0
2452,5.0,0.05,13.71,1.41
2795,5.0,0.05,20.22,2.07
2821,0.0,0.0,17.65,0.0
2022,0.0,0.0,15.87,0.0
3769,5.0,0.05,19.53,2.0
1306,0.0,0.0,13.68,0.0
3672,0.0,0.0,17.55,0.0
1889,5.0,0.05,15.8,1.62
3251,5.0,0.05,22.84,2.34
2373,10.0,0.1,10.8,2.2
2909,15.0,0.15,15.86,4.84
3797,5.0,0.05,17.04,1.75
1633,0.0,0.0,20.91,0.0
2243,0.0,0.0,20.09,0.0
4853,0.0,0.0,15.96,0.0
3918,5.0,0.05,13.57,1.39
3543,5.0,0.05,19.39,1.99
3581,0.0,0.0,15.42,0.0
4928,0.0,0.0,24.04,0.0
4890,0.0,0.0,11.6,0.0
643,0.0,0.0,26.71,0.0
2975,5.0,0.05,25.37,2.6
3615,0.0,0.0,25.63,0.0
3811,0.0,0.0,21.44,0.0
234,5.0,0.05,26.23,2.69
4577,5.0,0.05,19.52,2.0
1610,5.0,0.05,19.71,2.02
416,5.0,0.05,18.31,1.88
2472,0.0,0.0,11.63,0.0
654,0.0,0.0,18.67,0.0
3623,5.0,0.05,10.65,1.09
1601,5.0,0.05,16.5,1.69
18,10.0,0.1,14.48,2.96
1861,5.0,0.05,18.98,1.94
2461,0.0,0.0,18.01,0.0
2390,0.0,0.0,12.21,0.0
597,0.0,0.0,17.58,0.0
4872,0.0,0.0,21.06,0.0
2168,0.0,0.0,13.54,0.0
2858,20.0,0.2,12.82,5.21
4760,5.0,0.05,14.22,1.46
1816,5.0,0.05,14.71,1.51
4936,0.0,0.0,18.2,0.0
372,0.0,0.0,22.3,0.0
3039,0.0,0.0,14.46,0.0
599,0.0,0.0,21.98,0.0
239,0.0,0.0,22.53,0.0
3616,0.0,0.0,23.13,0.0
1814,30.0,0.3,14.75,8.95
1944,0.0,0.0,19.04,0.0
1718,5.0,0.05,25.66,2.63
4838,0.0,0.0,16.5,0.0
2139,0.0,0.0,31.46,0.0
2560,0.0,0.0,23.25,0.0
3481,5.0,0.05,14.46,1.48
3694,20.0,0.2,11.89,4.83
2765,5.0,0.05,28.46,2.92
2477,0.0,0.0,14.07,0.0
2553,0.0,0.0,13.81,0.0
788,10.0,0.1,13.52,2.76
1544,5.0,0.05,17.76,1.82
3741,10.0,0.1,14.5,2.97
4263,0.0,0.0,12.63,0.0
3726,0.0,0.0,24.53,0.0
2245,0.0,0.0,13.98,0.0
4488,15.0,0.15,14.6,4.46
4221,5.0,0.05,28.08,2.88
3049,5.0,0.05,22.61,2.31
1434,5.0,0.05,17.19,1.76
622,0.0,0.0,18.08,0.0
2313,0.0,0.0,18.89,0.0
3648,0.0,0.0,22.78,0.0
567,5.0,0.05,19.06,1.95
1486,5.0,0.05,17.58,1.8
3753,0.0,0.0,24.67,0.0
3586,5.0,0.05,26.15,2.68
52,0.0,0.0,23.4,0.0
2143,0.0,0.0,21.2,0.0
3047,0.0,0.0,14.95,0.0
3120,0.0,0.0,20.99,0.0
4375,0.0,0.0,28.17,0.0
535,0.0,0.0,19.57,0.0
3200,0.0,0.0,19.85,0.0
3103,0.0,0.0,8.07,0.0
444,0.0,0.0,18.87,0.0
2690,0.0,0.0,17.58,0.0
196,0.0,0.0,20.71,0.0
3484,0.0,0.0,18.44,0.0
777,5.0,0.05,20.53,2.1
2227,0.0,0.0,23.12,0.0
2823,15.0,0.15,14.44,4.42
3018,0.0,0.0,30.25,0.0
3063,5.0,0.05,24.05,2.46
2981,5.0,0.05,16.12,1.65
2576,5.0,0.05,15.74,1.61
2938,5.0,0.05,29.79,3.05
645,0.0,0.0,19.34,0.0
806,0.0,0.0,23.51,0.0
3538,5.0,0.05,28.94,2.96
1352,0.0,0.0,18.23,0.0
4866,0.0,0.0,25.62,0.0
121,0.0,0.0,20.76,0.0
2489,5.0,0.05,22.26,2.28
4808,20.0,0.2,12.63,5.13
4899,0.0,0.0,24.33,0.0
2465,0.0,0.0,18.86,0.0
3183,0.0,0.0,13.1,0.0
135,0.0,0.0,17.28,0.0
2804,0.0,0.0,8.0,0.0
3639,5.0,0.05,26.67,2.73
2299,10.0,0.1,15.54,3.17
185,0.0,0.0,17.09,0.0
1336,0.0,0.0,10.87,0.0
1667,5.0,0.05,21.6,2.21
512,15.0,0.15,15.13,4.62
1322,0.0,0.0,13.56,0.0
4073,0.0,0.0,15.66,0.0
3759,10.0,0.1,18.92,3.86
4229,10.0,0.1,11.01,2.25
3733,0.0,0.0,18.57,0.0
3680,0.0,0.0,22.56,0.0
743,0.0,0.0,22.13,0.0
252,5.0,0.05,26.1,2.67
1174,20.0,0.2,10.82,4.39
3960,0.0,0.0,20.84,0.0
3903,5.0,0.05,17.23,1.76
2171,0.0,0.0,19.43,0.0
123,0.0,0.0,22.4,0.0
2355,0.0,0.0,22.26,0.0
1670,5.0,0.05,16.51,1.69
1478,0.0,0.0,9.23,0.0
568,5.0,0.05,14.93,1.53
3668,0.0,0.0,18.23,0.0
3201,5.0,0.05,19.49,2.0
1676,20.0,0.2,9.07,3.67
1804,0.0,0.0,15.12,0.0
882,5.0,0.05,15.87,1.63
1216,0.0,0.0,22.58,0.0
